 ,Bin Fan,Calvin Jia,Andrew Audibert,Yupeng Fu,Haoyuan Li,Jiri Simsa,Gene Pang,Pei Sun,madanadit,cc,Chaomin Yu,haoyuan,Jan Hentschel,Yanqin Jin,Mingfei,David Capwell,bf8086,gjhkael,Henry Saputra,David Zhu,Shaoshan Liu,LuQQiu,Carson Wang,luoli,mbl,RongGu,Manu Goyal
Bin Fan,0.0,0.07072954724015067,0.049104935743744145,0.04305275544678985,0.026424242424242423,0.028519953770669543,0.03407183312745005,0.02594174408995374,0.013364520220549663,0.01808630196987401,0.025569422460170133,0.01031372549019608,0.011443118597915015,0.004612272311219508,0.01793576717977477,0.0030326605840772947,0.010298792362127397,0.0034832922638735444,0.012004911585202201,0.006742523602331888,0.001708198137509529,0.0066520826697270595,0.008912165685913204,0.006770282088961974,0.009468358340388146,0.003946616970753554,0.005105048452609238
Calvin Jia,0.07072954724015067,0.0,0.050546927437200184,0.04280136810633919,0.027023159687738014,0.033624485906382263,0.054480478803480115,0.026875891874537008,0.012218049297958259,0.02187945173156499,0.03267833756057859,0.010772566321037493,0.012300412683689614,0.0045892106751397556,0.017836346822643318,0.0030947322947171675,0.009845227587946035,0.0035693285181661477,0.01212063189889165,0.007115594352921689,0.0017234080130464572,0.006626784707280798,0.009466085532189486,0.006977611023177049,0.009427527561691042,0.004027873069371429,0.005223686924992884
Andrew Audibert,0.049104935743744145,0.050546927437200184,0.0,0.04561857922018991,0.026424242424242423,0.031105972867548553,0.03790897945716593,0.03239638324816534,0.014848288694043567,0.018880367908917745,0.03177248776812414,0.01031372549019608,0.012299273478035574,0.004785794290635841,0.017153846153846155,0.003017131758812152,0.010791472652415129,0.003593409118959428,0.010750000000000001,0.006788629616132842,0.0017237000806513943,0.006633205989128946,0.008735285426983612,0.006932453213817349,0.010245677499453727,0.004029477007715743,0.004972981532908773
Yupeng Fu,0.04305275544678985,0.04280136810633919,0.04561857922018991,0.0,0.026424242424242423,0.04,0.0487583557481602,0.024369660231675375,0.01441709624866717,0.02867590363070721,0.026560111014261985,0.01031372549019608,0.014173203492201239,0.004713636818998525,0.017896023258474957,0.003219119420191092,0.011093554405474708,0.0037068882395553866,0.013790823152996508,0.007837861442284507,0.001767024132952768,0.007047721867341788,0.010726037237091294,0.007793678398789197,0.009483349460531525,0.004268771401215436,0.005573435992690325
Haoyuan Li,0.026424242424242423,0.027023159687738014,0.026424242424242423,0.026424242424242423,0.0,0.026424242424242423,0.026424242424242423,0.02063049765503388,0.010695389425977229,0.02454359578789135,0.018889550655603736,0.012030739412611836,0.011328533078868738,0.0043381253846174065,0.03353846153846154,0.0032370677421282783,0.008742281210718048,0.0035651810235729597,0.017978673975590026,0.007713005091710849,0.0017571010215838858,0.006352941176470588,0.010921649172098096,0.007360888771434099,0.007959236120342062,0.004159841898217039,0.005871483213157221
Jiri Simsa,0.028519953770669543,0.033624485906382263,0.031105972867548553,0.04,0.026424242424242423,0.0,0.03620258087985203,0.02758562520552979,0.012666857769740926,0.03868113985862969,0.03247058823529412,0.01031372549019608,0.015479842071669468,0.004849334680227119,0.017153846153846155,0.003340432761308087,0.009579850297582107,0.0038111969521974643,0.014795970823866406,0.008631441203657848,0.0018004397275129477,0.006352941176470588,0.012116250469571127,0.008409995436822595,0.010307932941091464,0.004451087936517358,0.005891380894436591
Gene Pang,0.03407183312745005,0.054480478803480115,0.03790897945716593,0.0487583557481602,0.026424242424242423,0.03620258087985203,0.0,0.028255016713171148,0.014029597281057165,0.024071999474360402,0.030061575961864376,0.01031372549019608,0.013741735840648589,0.004684138162037931,0.017980710930141194,0.003275523331341141,0.010843555071166862,0.0037157122326924785,0.014285913586871844,0.00818122732793682,0.0017796720060283852,0.007026461610557311,0.011349473852777712,0.007963244128465795,0.009768648783086024,0.0043236598545824245,0.005720274631045908
Pei Sun,0.02594174408995374,0.026875891874537008,0.03239638324816534,0.024369660231675375,0.02063049765503388,0.02758562520552979,0.028255016713171148,0.0,0.01978886492297355,0.017471595073771037,0.03680584272224228,0.01031372549019608,0.017112308496521775,0.00521161740950227,0.017153846153846155,0.0032305252342314694,0.013110319802219134,0.0038822083531838184,0.010750000000000001,0.008084200574015883,0.0017935633576031448,0.0073707585408959355,0.010002152725119175,0.008296615414881341,0.012564168379103603,0.004436676806552779,0.005322132886388192
madanadit,0.013364520220549663,0.012218049297958259,0.014848288694043567,0.01441709624866717,0.010695389425977229,0.012666857769740926,0.014029597281057165,0.01978886492297355,0.0,0.01396402044148761,0.017970337078651682,0.01031372549019608,0.012584951530976328,0.0069794801957344665,0.010679487179487178,0.003330932652776952,0.018527985516621118,0.004610474920100229,0.010679487179487178,0.008081646079058152,0.0019098572775565243,0.011331776266530267,0.009094103558047977,0.008734554640056165,0.019084650470926664,0.0047230875770114256,0.005136645519652773
cc,0.01808630196987401,0.02187945173156499,0.018880367908917745,0.02867590363070721,0.02454359578789135,0.03868113985862969,0.024071999474360402,0.017471595073771037,0.01396402044148761,0.0,0.0243234475834924,0.01031372549019608,0.019675590673978807,0.005203363603175405,0.023556070308069502,0.003590979509190142,0.01062543926221847,0.004119502637231928,0.019,0.010540121669073184,0.001870764940130279,0.00675328163288384,0.016070306377830995,0.010140664325168507,0.010532553912860468,0.004899530002055104,0.006691194228704425
Chaomin Yu,0.025569422460170133,0.03267833756057859,0.03177248776812414,0.026560111014261985,0.018889550655603736,0.03247058823529412,0.030061575961864376,0.03680584272224228,0.017970337078651682,0.0243234475834924,0.0,0.01031372549019608,0.0171457508206834,0.005248967804696656,0.017153846153846155,0.0032813419513332137,0.012722953679688257,0.003930689219544829,0.011865910471799542,0.008386742779003446,0.0017969946383067997,0.007457399327598036,0.010959216327021527,0.008421099691087052,0.012776345838400763,0.004453008644116357,0.005573239796925001
haoyuan,0.01031372549019608,0.010772566321037493,0.01031372549019608,0.01031372549019608,0.012030739412611836,0.01031372549019608,0.01031372549019608,0.01031372549019608,0.01031372549019608,0.01031372549019608,0.01031372549019608,0.0,0.01031372549019608,0.004421321092768548,0.011486844326509819,0.003838611803971617,0.008828639254751825,0.0034501250108610734,0.011481476918846375,0.006797047935507248,0.001881628452113635,0.006352941176470588,0.008992785506390077,0.006642491624819055,0.008815218134100092,0.004194684385695382,0.007867262427022563
Jan Hentschel,0.011443118597915015,0.012300412683689614,0.012299273478035574,0.014173203492201239,0.011328533078868738,0.015479842071669468,0.013741735840648589,0.017112308496521775,0.012584951530976328,0.019675590673978807,0.0171457508206834,0.01031372549019608,0.0,0.006991198888064086,0.016042824673335662,0.003929446847830025,0.010525052821055156,0.005006695095408968,0.014031577519105814,0.013627213071753675,0.0020032954762648552,0.006980684300195271,0.01503278681089346,0.01581843517660398,0.013278951536233308,0.005986216024323189,0.006960176946798075
Yanqin Jin,0.004612272311219508,0.0045892106751397556,0.004785794290635841,0.004713636818998525,0.0043381253846174065,0.004849334680227119,0.004684138162037931,0.00521161740950227,0.0069794801957344665,0.005203363603175405,0.005248967804696656,0.004421321092768548,0.006991198888064086,0.0,0.0048733766790124726,0.0051267334770775785,0.008128956708260252,0.009423460644378486,0.005121225415874304,0.00796014089044407,0.0026083871591150725,0.009978870278161606,0.006072299896956865,0.009388773269873661,0.00884446341642259,0.005095800606232249,0.005414412745555004
Mingfei,0.01793576717977477,0.017836346822643318,0.017153846153846155,0.017896023258474957,0.03353846153846154,0.017153846153846155,0.017980710930141194,0.017153846153846155,0.010679487179487178,0.023556070308069502,0.017153846153846155,0.011486844326509819,0.016042824673335662,0.0048733766790124726,0.0,0.0034628522221497628,0.008700000000000001,0.003876244556873499,0.021678706239219105,0.008984086740320677,0.0018153153687260806,0.006352941176470588,0.012783360027706043,0.008741049412117832,0.009668808900371603,0.004542634344338157,0.006645495479491941
David Capwell,0.0030326605840772947,0.0030947322947171675,0.003017131758812152,0.003219119420191092,0.0032370677421282783,0.003340432761308087,0.003275523331341141,0.0032305252342314694,0.003330932652776952,0.003590979509190142,0.0032813419513332137,0.003838611803971617,0.003929446847830025,0.0051267334770775785,0.0034628522221497628,0.0,0.0034260540187332324,0.00722367573552908,0.003936110412922011,0.005380263985485219,0.00369016525821295,0.003425110041041624,0.004594980136046934,0.005215301960877217,0.0038403422531958433,0.005646453128294366,0.007166126700179916
bf8086,0.010298792362127397,0.009845227587946035,0.010791472652415129,0.011093554405474708,0.008742281210718048,0.009579850297582107,0.010843555071166862,0.013110319802219134,0.018527985516621118,0.01062543926221847,0.012722953679688257,0.008828639254751825,0.010525052821055156,0.008128956708260252,0.008700000000000001,0.0034260540187332324,0.0,0.0050154792561492995,0.008700000000000001,0.007418134437545807,0.001977015874623809,0.013030895507138221,0.007571428571428572,0.00869158327827494,0.015335064813117317,0.004759366783096297,0.00480952380952381
gjhkael,0.0034832922638735444,0.0035693285181661477,0.003593409118959428,0.0037068882395553866,0.0035651810235729597,0.0038111969521974643,0.0037157122326924785,0.0038822083531838184,0.004610474920100229,0.004119502637231928,0.003930689219544829,0.0034501250108610734,0.005006695095408968,0.009423460644378486,0.003876244556873499,0.00722367573552908,0.0050154792561492995,0.0,0.004245077141499705,0.006436166393097421,0.0032600780363909666,0.005607584769218933,0.005043994344976282,0.00690578655539608,0.005498281077206279,0.006124562197382242,0.005900413046443259
Henry Saputra,0.012004911585202201,0.01212063189889165,0.010750000000000001,0.013790823152996508,0.017978673975590026,0.014795970823866406,0.014285913586871844,0.010750000000000001,0.010679487179487178,0.019,0.011865910471799542,0.011481476918846375,0.014031577519105814,0.005121225415874304,0.021678706239219105,0.003936110412922011,0.008700000000000001,0.004245077141499705,0.0,0.012381210859242922,0.0019319359030531954,0.006352941176470588,0.0205582287777789,0.010877668965729125,0.008776456164025469,0.0052095144793571834,0.008620227188857571
David Zhu,0.006742523602331888,0.007115594352921689,0.006788629616132842,0.007837861442284507,0.007713005091710849,0.008631441203657848,0.00818122732793682,0.008084200574015883,0.008081646079058152,0.010540121669073184,0.008386742779003446,0.006797047935507248,0.013627213071753675,0.00796014089044407,0.008984086740320677,0.005380263985485219,0.007418134437545807,0.006436166393097421,0.012381210859242922,0.0,0.0022736457355973286,0.005900000000000001,0.014401718015192069,0.011609779335058856,0.010683139110499907,0.005742256309578451,0.011903558839118597
Shaoshan Liu,0.001708198137509529,0.0017234080130464572,0.0017237000806513943,0.001767024132952768,0.0017571010215838858,0.0018004397275129477,0.0017796720060283852,0.0017935633576031448,0.0019098572775565243,0.001870764940130279,0.0017969946383067997,0.001881628452113635,0.0020032954762648552,0.0026083871591150725,0.0018153153687260806,0.00369016525821295,0.001977015874623809,0.0032600780363909666,0.0019319359030531954,0.0022736457355973286,0.0,0.0020969061930894324,0.0020907479120922286,0.0022844848554233127,0.002050095186152386,0.0030106121900205195,0.002444575248004944
LuQQiu,0.0066520826697270595,0.006626784707280798,0.006633205989128946,0.007047721867341788,0.006352941176470588,0.006352941176470588,0.007026461610557311,0.0073707585408959355,0.011331776266530267,0.00675328163288384,0.007457399327598036,0.006352941176470588,0.006980684300195271,0.009978870278161606,0.006352941176470588,0.003425110041041624,0.013030895507138221,0.005607584769218933,0.006352941176470588,0.005900000000000001,0.0020969061930894324,0.0,0.006352941176470588,0.006229468875154296,0.009608704762385425,0.004240575558498341,0.00480952380952381
Carson Wang,0.008912165685913204,0.009466085532189486,0.008735285426983612,0.010726037237091294,0.010921649172098096,0.012116250469571127,0.011349473852777712,0.010002152725119175,0.009094103558047977,0.016070306377830995,0.010959216327021527,0.008992785506390077,0.01503278681089346,0.006072299896956865,0.012783360027706043,0.004594980136046934,0.007571428571428572,0.005043994344976282,0.0205582287777789,0.014401718015192069,0.0020907479120922286,0.006352941176470588,0.0,0.012613716753548335,0.0093020623964252,0.006527424044413571,0.01133912747436617
luoli,0.006770282088961974,0.006977611023177049,0.006932453213817349,0.007793678398789197,0.007360888771434099,0.008409995436822595,0.007963244128465795,0.008296615414881341,0.008734554640056165,0.010140664325168507,0.008421099691087052,0.006642491624819055,0.01581843517660398,0.009388773269873661,0.008741049412117832,0.005215301960877217,0.00869158327827494,0.00690578655539608,0.010877668965729125,0.011609779335058856,0.0022844848554233127,0.006229468875154296,0.012613716753548335,0.0,0.01237786303606214,0.008254515433488223,0.008555046466549402
mbl,0.009468358340388146,0.009427527561691042,0.010245677499453727,0.009483349460531525,0.007959236120342062,0.010307932941091464,0.009768648783086024,0.012564168379103603,0.019084650470926664,0.010532553912860468,0.012776345838400763,0.008815218134100092,0.013278951536233308,0.00884446341642259,0.009668808900371603,0.0038403422531958433,0.015335064813117317,0.005498281077206279,0.008776456164025469,0.010683139110499907,0.002050095186152386,0.009608704762385425,0.0093020623964252,0.01237786303606214,0.0,0.005674233043109292,0.005884688291412616
RongGu,0.003946616970753554,0.004027873069371429,0.004029477007715743,0.004268771401215436,0.004159841898217039,0.004451087936517358,0.0043236598545824245,0.004436676806552779,0.0047230875770114256,0.004899530002055104,0.004453008644116357,0.004194684385695382,0.005986216024323189,0.005095800606232249,0.004542634344338157,0.005646453128294366,0.004759366783096297,0.006124562197382242,0.0052095144793571834,0.005742256309578451,0.0030106121900205195,0.004240575558498341,0.006527424044413571,0.008254515433488223,0.005674233043109292,0.0,0.006627712528052108
Manu Goyal,0.005105048452609238,0.005223686924992884,0.004972981532908773,0.005573435992690325,0.005871483213157221,0.005891380894436591,0.005720274631045908,0.005322132886388192,0.005136645519652773,0.006691194228704425,0.005573239796925001,0.007867262427022563,0.006960176946798075,0.005414412745555004,0.006645495479491941,0.007166126700179916,0.00480952380952381,0.005900413046443259,0.008620227188857571,0.011903558839118597,0.002444575248004944,0.00480952380952381,0.01133912747436617,0.008555046466549402,0.005884688291412616,0.006627712528052108,0.0
